Controversial Flag,Number of Planets in System,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au]),Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Dec [sexagesimal],Dec [decimal degrees],Distance [pc],Distance Upper Unc. [pc],Distance Lower Unc. [pc],Gaia Distance [pc],Gaia Distance Upper Unc. [pc],Gaia Distance Lower Unc. [pc],Optical Magnitude [mag],G-band (Gaia) [mag],Effective Temperature [K],Effective Temperature Upper Unc. [K],Effective Temperature Lower Unc. [K],Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Radius [Solar radii],Stellar Radius Upper Unc. [Solar radii],Stellar Radius Lower Unc. [Solar radii],Time of Periastron Lower Unc. [days],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Upper Unc. [m/s],Radial Velocity Amplitude Lower Unc. [m/s],Planet M*sin(i) [Jupiter mass],Planet M*sin(i) Upper Unc. [Jupiter mass],Planet M*sin(i) Lower Unc. [Jupiter mass],Planet Mass [Earth mass],Planet Mass Upper Unc. [Earth mass],Planet Mass Lower Unc. [Earth mass],Planet M*sin(i) [Earth mass],Planet M*sin(i) Upper Unc. [Earth mass],Planet M*sin(i) Lower Unc. [Earth mass],Planet Mass or M*sin(i) [Earth mass],Planet Mass or M*sin(i) Upper Unc. [Earth mass],Planet Mass or M*sin(i) Lower Unc. [Earth mass],Planet Radius [Earth radii],Planet Radius Upper Unc. [Earth radii],Planet Radius Lower Unc. [Earth radii],Planet Radius [Solar radii],Planet Radius Upper Unc. [Solar radii],Planet Radius Lower Unc. [Solar radii],Transit Depth [percent],Ratio of Planet to Stellar Radius,Ratio of Planet to Stellar Radius Upper Unc.,Ratio of Planet to Stellar Radius Lower Unc.,Number of Moons in System,Number of Stellar and Planet Parameters,Number of Stellar and Planet References,RA [hrs],Galactic Longitude [deg],Galactic Latitude [deg],Ecliptic Longitude [deg],Ecliptic Latitude [deg],Parallax [mas],Parallax Upper Unc. [mas],Parallax Lower Unc. [mas],Gaia Parallax [mas],Gaia Parallax Upper Unc. [mas],Gaia Parallax Lower Unc. [mas],Proper Motion (RA) [mas/yr],Proper Motion (RA) Unc. [mas/yr],Proper Motion (Dec) [mas/yr],Proper Motion (Dec) Unc. [mas/yr],Total Proper Motion [mas/yr],Total Proper Motion Unc. [mas/yr],Gaia Proper Motion (RA) [mas/yr],Gaia Proper Motion (RA) Unc. [mas/yr],Gaia Proper Motion (Dec) [mas/yr],Gaia Proper Motion (Dec) Unc. [mas/yr],Gaia Total Proper Motion [mas/yr],Gaia Total Proper Motion Unc. [mas/yr],Radial Velocity [km/s],Radial Velocity Upper Unc. [km/s],Radial Velocity Lower Unc. [km/s],Spectral Type,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Luminosity [log(Solar)],Stellar Luminosity Upper Unc. [log(Solar)],Stellar Luminosity Lower Unc. [log(Solar)],Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Age [Gyr],Stellar Age Upper Unc. [Gyr],Stellar Age Lower Unc. [Gyr],Rot. Velocity V*sin(i) [km/s],Rot. Velocity V*sin(i) Upper Unc. [km/s],Rot. Velocity V*sin(i) Lower Unc. [km/s],V-band (Johnson) [mag],V-band (Johnson) Unc. [mag],B-band (Johnson) [mag],B-band (Johnson) Unc. [mag],R-band (Cousins) [mag],J-band (2MASS) [mag],J-band (2MASS) Unc. [mag],H-band (2MASS) [mag],H-band (2MASS) Unc. [mag],Ks-band (2MASS) [mag],Ks-band (2MASS) Unc. [mag],WISE 3.4um [mag],WISE 3.4um Unc. [mag],WISE 4.6um [mag],WISE 4.6um Unc. [mag],WISE 12.um [mag],WISE 12.um Unc. [mag],WISE 22.um [mag],WISE 22.um Unc. [mag],IRAS 100um Flux Limit Flag,Number of Photometry Measurements,U-B (Johnson) [mag],U-B (Johnson) Unc. [mag],B-V (Johnson) [mag],B-V (Johnson) Unc. [mag],J-H (2MASS) [mag],J-H (2MASS) Unc. [mag],H-Ks (2MASS) [mag],H-Ks (2MASS) Unc. [mag],J-Ks (2MASS) [mag],J-Ks (2MASS) Unc. [mag],b-y (Stromgren) [mag],b-y (Stromgren) Unc. [mag],m1 (Stromgren) [mag],m1 (Stromgren) Unc. [mag],c1 (Stromgren) [mag],c1 (Stromgren) Unc. [mag],Number of Color Measurements
1264,0,2,8.438756,0.000269,-0.000271,0,0.075,0.0005,-0.0005,132.169891,20.455076,124.09,0.7,-0.7,123.87,0.71,-0.71,12.063,11.814,4812,59,-59,0.79,0.02,-0.02,0.73,0.01,-0.01,,,,,,,,,,,,,,,,,2.34,0.1,-0.1,0.021,0.001,-0.001,,0.0296,0.0017,-0.0008,0,16,7,8.81132609,205.823951,34.580881,129.022282,2.545269,,,,8.07,0.05,-0.05,-4.872,0.074,-15.641,0.044,16.382,0.047,-4.872,0.074,-15.641,0.044,16.382,0.047,-7.35,0.48,-0.48,,4.61,0.01,-0.01,,,,0,0.06,-0.06,,,,,,,12.063,0.01,13.018,0.02,,10.364,0.026,9.861,0.033,9.749,0.024,9.642,0.022,9.722,0.02,9.654,0.055,7.99,,,14,,,0.955,0.022,0.503,0.042,0.112,0.041,0.615,0.035,,,,,,,4
1265,0,1,18.718269,0.003153,-0.003008,0,0.1291,0.0011,-0.0011,125.952751,22.634024,489.88,7.32,-7.32,495.07,7.7,-7.7,14.627,14.379,5139,62,-62,0.82,0.02,-0.02,0.85,0.02,-0.02,,,,,,,,,,,,,,,,,3.77,0.21,-0.21,0.035,0.002,-0.002,,0.0405,0.0024,-0.0018,0,17,7,8.39685008,201.128035,29.846452,122.870862,3.203687,,,,2.02,0.03,-0.03,14.61,0.049,-18.231,0.031,23.363,0.039,14.61,0.049,-18.231,0.031,23.363,0.039,,,,,4.49,0.02,-0.02,,,,0.07,0.05,-0.05,,,,,,,14.627,0.041,15.584,0.06,,12.871,0.021,12.388,0.025,12.26,0.022,12.174,0.023,12.204,0.024,12.234,0.359,8.748,,,12,,,0.957,0.073,0.483,0.033,0.128,0.033,0.611,0.03,,,,,,,4
1266,0,1,6.326763,0.000355,-0.000361,0,0.0675,0.0006,-0.0006,202.016632,-15.93782,113.53,0.7,-0.7,113.49,0.7,-0.7,10.364,10.121,5741,65,-65,1.02,0.03,-0.03,0.97,0.02,-0.02,,,,,,,,,,,,,,,,,2.07,0.12,-0.12,0.019,0.001,-0.001,,0.0196,0.0014,-0.0008,0,17,8,13.46777547,315.664064,46.026467,206.267529,-6.231741,,,,8.81,0.05,-0.05,-98.674,0.098,-36.096,0.102,105.069,0.098,-98.674,0.098,-36.096,0.102,105.069,0.098,7.52,0.65,-0.65,,4.48,0.02,-0.02,,,,0.11,0.05,-0.05,,,,,,,10.364,0.054,11.08,0.076,,9.081,0.034,8.748,0.071,8.687,0.024,8.63,0.023,8.675,0.02,8.649,0.024,8.418,0.261,,14,,,0.716,0.093,0.333,0.079,0.061,0.075,0.394,0.042,,,,,,,4
1267,0,1,3.334966,0.000701,-0.000859,0,0.0488,0.0009,-0.0009,203.301773,-14.504056,804.13,16.46,-16.46,804.5,16.69,-16.69,13.412,13.254,6747,383,-383,1.4,0.08,-0.08,1.61,0.05,-0.05,,,,,,,,,,,,,,,,,2.98,0.23,-0.23,0.027,0.002,-0.002,,0.0169,0.0013,-0.0011,0,17,7,13.55345154,317.884381,47.151426,206.894342,-4.441808,,,,1.24,0.03,-0.03,18.258,0.044,-11.458,0.038,21.556,0.042,18.258,0.044,-11.458,0.038,21.556,0.042,,,,,4.17,0.04,-0.04,,,,0,0.17,-0.17,,,,,,,13.412,0.03,14.157,0.06,,12.097,0.023,11.809,0.027,11.701,0.026,11.657,0.023,11.727,0.022,11.758,0.243,8.499,,,14,,,0.745,0.067,0.288,0.035,0.108,0.037,0.396,0.035,,,,,,,4
1268,0,1,7.122605,0.001647,-0.001601,0,0.067,0.0008,-0.0009,204.779724,-6.041594,183.8,1.58,-1.58,183.94,1.6,-1.6,11.491,11.591,5558,70,-70,0.79,0.03,-0.03,0.86,0.01,-0.01,,,,,,,,,,,,,,,,,1.21,0.14,-0.14,0.011,0.001,-0.001,,0.0129,0.0021,-0.0009,0,17,8,13.65198161,323.851479,54.881844,205.169384,3.969721,,,,5.44,0.05,-0.05,-87.029,0.075,-53.761,0.077,102.295,0.075,-87.029,0.075,-53.761,0.077,102.295,0.075,3.29,0.16,-0.16,,4.46,0.02,-0.02,,,,-0.37,0.05,-0.05,,,,,,,11.491,0.153,12.327,0.263,,10.431,0.023,10.091,0.023,9.994,0.024,9.971,0.022,10.022,0.019,9.939,0.052,8.886,,,14,,,0.836,0.304,0.34,0.033,0.097,0.033,0.437,0.033,,,,,,,4
1269,0,1,2.260455,0.000041,-0.000041,0,0.0214,0.0013,-0.0013,335.62439,-7.955366,63.11,0.32,-0.32,63.11,0.32,-0.32,16.061,14.68,3214,60,-60,0.26,0.05,-0.05,0.29,0.03,-0.03,,,,,,,,,,,,,,,,,2.32,0.24,-0.24,0.021,0.002,-0.002,,0.0737,0.0032,-0.0018,0,63,11,22.37495931,54.457504,-49.894689,334.510736,2.040639,15.85,0.08,-0.08,15.85,0.08,-0.08,-258.9,8,-187.2,8,319.5,8,-254.7,0.1,-194.6,0.1,320.5,0.1,,,,6.4,4.93,0.04,-0.04,,,,0.26,0.1,-0.1,,,,,,,16.061,0.067,17.876,0.22,,11.695,0.03,11.028,0.023,10.746,0.023,10.591,0.022,10.466,0.02,10.381,0.086,8.636,,,18,,,1.815,0.23,0.667,0.038,0.282,0.033,0.949,0.038,,,,,,,4
1270,0,1,19.895202,0.000774,-0.000753,0,0.1488,0.0019,-0.002,291.595337,-22.247662,396.9,7.31,-7.31,395.78,7.46,-7.46,12.536,12.36,5742,90,-90,1.11,0.04,-0.04,1.28,0.03,-0.03,,,,,,,,,,,,,,,,,7.67,0.26,-0.26,0.07,0.002,-0.002,,0.0547,0.0017,-0.0011,0,17,7,19.43968913,16.323772,-17.322347,289.916735,-0.289142,,,,2.53,0.05,-0.05,4.442,0.079,-12.504,0.065,13.269,0.067,4.442,0.079,-12.504,0.065,13.269,0.067,-0.15,1.59,-1.59,,4.26,0.03,-0.03,,,,0.3,0.05,-0.05,,,,,,,12.536,0.04,13.269,0.01,,11.141,0.021,10.854,0.024,10.765,0.019,10.726,0.023,10.779,0.021,10.537,0.122,8.579,,,14,,,0.733,0.041,0.287,0.032,0.089,0.031,0.376,0.028,,,,,,,4
1271,0,1,8.687721,0.000151,-0.00015,0,0.0773,0.0008,-0.0008,16.22735,7.269234,466.11,7.25,-7.25,464.21,7.87,-7.87,15.117,14.768,4812,72,-72,0.82,0.03,-0.03,0.76,0.01,-0.01,,,,,,,,,,,,,,,,,8.18,0.21,-0.21,0.075,0.002,-0.002,,0.0987,0.0025,-0.0012,0,17,7,1.08182335,128.829443,-55.448162,17.738062,0.333786,,,,2.15,0.04,-0.04,22.702,0.07,0.977,0.049,22.723,0.07,22.702,0.07,0.977,0.049,22.723,0.07,,,,,4.59,0.02,-0.02,,,,0.22,0.05,-0.05,,,,,,,15.117,0.06,16.237,0.04,,13.195,0.024,12.626,0.024,12.523,0.029,12.459,0.022,12.551,0.026,12.125,,8.761,,,14,,,1.12,0.072,0.569,0.034,0.103,0.037,0.672,0.037,,,,,,,4
1272,0,2,4.169836,0.000279,-0.0003,0,0.0499,0.0006,-0.0007,13.432017,7.995316,502.28,7.77,-7.77,503.46,7.95,-7.95,14.042,13.818,,,,0.94,0.04,-0.04,,,,,,,,,,,,,,,,,,,,2.82,0.14,-0.14,0.026,0.001,-0.001,,0.0275,0.0016,-0.0009,0,18,8,0.89546782,123.91731,-54.872033,15.45926,2.069543,,,,1.99,0.03,-0.03,31.9,0.073,-5.85,0.034,32.432,0.072,31.9,0.073,-5.85,0.034,32.432,0.072,,,,,,,,,,,,,,,,,,,,14.042,0.036,14.859,0.02,,12.437,0.024,12.084,0.021,12.002,0.021,11.959,0.025,12.032,0.023,12.161,0.363,8.806,,,14,,,0.817,0.041,0.353,0.032,0.082,0.03,0.435,0.032,,,,,,,4
1273,0,1,1.921036,0.000051,-0.000053,0,0.0291,0.0003,-0.0003,13.194414,9.692924,408.24,4.82,-4.82,407.62,5.05,-5.05,14.445,14.132,5060,70,-70,0.89,0.03,-0.03,0.82,0.01,-0.01,,,,,,,,,,,,,,,,,3.52,0.16,-0.16,0.032,0.001,-0.001,,0.0393,0.0023,-0.001,0,17,7,0.87962761,123.4828,-53.177371,15.901409,3.725443,,,,2.45,0.03,-0.03,-10.973,0.054,-1.738,0.031,11.11,0.053,-10.973,0.054,-1.738,0.031,11.11,0.053,,,,,4.56,0.02,-0.02,,,,0.28,0.05,-0.05,,,,,,,14.445,0.03,15.516,0.05,,12.579,0.024,12.114,0.021,11.983,0.023,11.936,0.022,12.018,0.024,12.507,0.538,8.785,,,14,,,1.071,0.058,0.465,0.032,0.131,0.031,0.596,0.033,,,,,,,4
1274,0,1,4.795069,0.000086,-0.000086,0,0.04771,0.00025,-0.00025,79.140686,20.255108,107.6,0.5,-0.5,107.6,0.5,-0.5,13.322,12.86,4140,50,-50,0.63,0.01,-0.01,0.61,0.02,-0.02,,,,,,,,,,,,,,,,,2.78,0.14,-0.12,0.025,0.001,-0.001,,0.042,0.0013,-0.0011,0,24,7,5.27604574,183.723867,-10.252967,79.807318,-2.800774,9.29,0.04,-0.04,9.29,0.04,-0.04,25,0.082,-45.938,0.059,52.301,0.065,25,0.082,-45.938,0.059,52.301,0.065,16.96,0.19,-0.19,,4.67,0.01,-0.01,-1.013,0.018,-0.018,0,0.08,-0.08,0.12,0.64,-0.02,3.54,0.5,-0.5,13.322,0.015,14.713,0.006,,10.868,0.024,10.206,0.025,10.058,0.018,9.975,0.023,10.007,0.02,9.902,0.06,8.961,,,19,,,1.391,0.022,0.662,0.035,0.148,0.031,0.81,0.03,,,,,,,4
1275,0,4,3.471745,0.000044,-0.000046,0,0.03817,0.00095,-0.00092,349.384277,1.30029,155.65,1.15,-1.15,155.65,1.15,-1.15,12.03,11.804,4975,95,-95,0.83,0.02,-0.02,0.79,0.02,-0.02,,4.62,0.58,-0.65,,,,9.68,1.21,-1.37,,,,9.68,1.21,-1.37,2.59,0.06,-0.06,0.024,0.001,-0.001,0.097,0.03013,0.00022,-0.00022,0,25,7,23.29228516,80.674911,-53.68451,350.754672,5.398366,6.42,0.05,-0.05,6.42,0.05,-0.05,15.023,0.076,-33.874,0.057,37.056,0.06,15.023,0.076,-33.874,0.057,37.056,0.06,15.88,0.71,-0.71,5.2,4.4,0.1,-0.1,,,,0,0.05,-0.05,,,,3.9,0.8,-0.8,12.03,0.121,12.869,0.02,,10.477,0.022,10.069,0.026,9.971,0.022,9.891,0.023,9.967,0.019,9.899,0.054,8.743,0.405,,15,,,1.115,0.022,0.408,0.034,0.098,0.034,0.506,0.031,,,,,,,4
1276,0,4,7.138048,0.000072,-0.000063,0,0.0824,0.0018,-0.0018,349.384277,1.30029,155.65,1.15,-1.15,155.65,1.15,-1.15,12.03,11.804,4975,95,-95,0.83,0.02,-0.02,0.79,0.02,-0.02,,5.9,0.86,-0.8,,,,15.68,2.28,-2.13,,,,15.68,2.28,-2.13,3.53,0.08,-0.08,0.032,0.001,-0.001,0.21,0.04115,0.0003,-0.00032,0,25,7,23.29228516,80.674911,-53.68451,350.754672,5.398366,6.42,0.05,-0.05,6.42,0.05,-0.05,15.023,0.076,-33.874,0.057,37.056,0.06,15.023,0.076,-33.874,0.057,37.056,0.06,15.88,0.71,-0.71,5.2,4.4,0.1,-0.1,,,,0,0.05,-0.05,,,,3.9,0.8,-0.8,12.03,0.121,12.869,0.02,,10.477,0.022,10.069,0.026,9.971,0.022,9.891,0.023,9.967,0.019,9.899,0.054,8.743,0.405,,15,,,1.115,0.022,0.408,0.034,0.098,0.034,0.506,0.031,,,,,,,4
1277,0,4,10.45582,0.00025,-0.00023,0,0.1178,0.0029,-0.0029,349.384277,1.30029,155.65,1.15,-1.15,155.65,1.15,-1.15,12.03,11.804,4975,95,-95,0.83,0.02,-0.02,0.79,0.02,-0.02,,0.68,0.77,-0.5,,,,6.5,,,,,,6.5,,,2.48,0.06,-0.06,0.023,0.001,-0.001,0.1,0.0289,0.00032,-0.00029,0,24,7,23.29228516,80.674911,-53.68451,350.754672,5.398366,6.42,0.05,-0.05,6.42,0.05,-0.05,15.023,0.076,-33.874,0.057,37.056,0.06,15.023,0.076,-33.874,0.057,37.056,0.06,15.88,0.71,-0.71,5.2,4.4,0.1,-0.1,,,,0,0.05,-0.05,,,,3.9,0.8,-0.8,12.03,0.121,12.869,0.02,,10.477,0.022,10.069,0.026,9.971,0.022,9.891,0.023,9.967,0.019,9.899,0.054,8.743,0.405,,15,,,1.115,0.022,0.408,0.034,0.098,0.034,0.506,0.031,,,,,,,4
1278,0,4,14.76289,0.00065,-0.00061,0,0.18041,0.0042,-0.0043,349.384277,1.30029,155.65,1.15,-1.15,155.65,1.15,-1.15,12.03,11.804,4975,95,-95,0.83,0.02,-0.02,0.79,0.02,-0.02,,1.69,0.74,-0.72,,,,10.7,,,,,,10.7,,,1.95,0.05,-0.05,0.018,0,0,0.068,0.0227,0.00035,-0.00035,0,24,7,23.29228516,80.674911,-53.68451,350.754672,5.398366,6.42,0.05,-0.05,6.42,0.05,-0.05,15.023,0.076,-33.874,0.057,37.056,0.06,15.023,0.076,-33.874,0.057,37.056,0.06,15.88,0.71,-0.71,5.2,4.4,0.1,-0.1,,,,0,0.05,-0.05,,,,3.9,0.8,-0.8,12.03,0.121,12.869,0.02,,10.477,0.022,10.069,0.026,9.971,0.022,9.891,0.023,9.967,0.019,9.899,0.054,8.743,0.405,,15,,,1.115,0.022,0.408,0.034,0.098,0.034,0.506,0.031,,,,,,,4
1279,0,1,27.359,0.005,-0.005,0,0.1768,0.0175,-0.0205,233.369568,-16.773256,76.32,0.23,-0.23,76.32,0.23,-0.23,12.763,12.165,3926,100,-100,0.64,0.02,-0.02,0.62,0.02,-0.02,,,,,,,,,,,,,,,,,2.1,0.2,-0.2,0.019,0.002,-0.002,0.112,0.0315,0.0008,-0.0005,0,20,7,15.55797119,349.501537,31.082564,235.128083,2.341968,13.1,0.04,-0.04,13.1,0.04,-0.04,57.807,0.084,-105.645,0.066,120.426,0.07,57.807,0.084,-105.645,0.066,120.426,0.07,-17.41,1.17,-1.17,6,4.7,0.2,-0.2,-1.046,0.192,-0.352,0,0.5,-0.5,,,,,,,12.763,0.01,14.118,0.02,12.196,10.127,0.024,9.518,0.022,9.317,0.02,9.258,0.024,9.271,0.02,9.204,0.039,8.935,0.493,,16,,,1.355,0.022,0.609,0.033,0.201,0.03,0.81,0.031,,,,,,,4
1280,0,1,14.893291,0.000025,-0.000025,0,0.1206,0.0008,-0.0008,233.074341,-22.358261,159.05,1.29,-1.29,159.05,1.29,-1.29,11.41,11.067,5695,58,-58,1.06,0.02,-0.02,1.07,0.01,-0.01,,28.8,2.3,-2.2,,,,100.11645,8.58141,-8.58141,,,,100.11645,8.58141,-8.58141,9.494,0.146,-0.146,0.087,0.001,-0.001,,0.08014,0.00086,-0.00098,0,22,8,15.53828939,345.043488,27.069754,236.189097,-3.148455,6.29,0.05,-0.05,6.29,0.05,-0.05,-4.594,0.107,-17.899,0.074,18.479,0.076,-4.594,0.107,-17.899,0.074,18.479,0.076,32.93,0,0,,4.4,0.01,-0.01,,,,0.2,0.04,-0.04,4.5,1,-1,3.2,0.2,-0.2,11.41,0.129,12.009,0.169,,9.677,0.023,9.283,0.025,9.188,0.021,9.114,0.022,9.148,0.019,9.089,0.034,8.152,,,14,,,0.599,0.213,0.394,0.034,0.095,0.033,0.489,0.031,,,,,,,4
1281,0,1,31.393463,0.000067,-0.000069,0,0.164,0.03,-0.03,55.443439,18.268902,65.72,0.87,-0.87,65.72,0.87,-0.87,13.868,14.545,3341,276,-276,0.33,0.02,-0.02,0.32,0.03,-0.03,,,,,,,,,,,,,,,,,1.9,0.3,-0.3,0.017,0.003,-0.003,,0.049,0.019,-0.006,0,18,9,3.6962293,169.998636,-28.640721,57.399529,-1.345094,15.22,0.2,-0.2,15.22,0.2,-0.2,185.476,0.708,-74.07,0.618,199.719,0.697,185.476,0.708,-74.07,0.618,199.719,0.697,71.6,0.2,-0.2,6.3,4.96,0.02,-0.02,-1.93,0.02,-0.02,-0.21,0.09,-0.09,1,,,,,,13.868,0.12,15.423,0.03,,10.545,0.02,9.946,0.023,9.724,0.018,,,,,,,,,,13,,,1.555,0.124,0.599,0.03,0.222,0.029,0.821,0.027,,,,,,,4
1282,0,1,13.156969,0.000047,-0.000051,0,0.107,0.001,-0.001,246.643036,-15.792386,270.7,7.6,-7.1,276.47,2.1,-2.1,14.465,13.794,5529,77,-74,0.95,0.04,-0.05,1.02,0.03,-0.03,,,,,,,,,,,,,,,,,9.1,0.3,-0.3,0.083,0.003,-0.003,,0.081,0.001,-0.001,0,19,7,16.44286906,0.072462,22.451053,247.450457,5.837154,,,,3.62,0.03,-0.03,-21.709,0.065,-37.005,0.034,42.903,0.044,-21.709,0.065,-37.005,0.034,42.903,0.044,,,,,4.39,0.02,-0.02,,,,0.162,0.087,-0.074,,,,,,,14.465,0.039,15.899,0.03,,11.435,0.021,10.847,0.021,10.641,0.021,10.527,0.022,10.527,0.02,10.273,0.067,8.707,,,14,,,1.434,0.049,0.588,0.03,0.206,0.03,0.794,0.03,,,,,,,4
1283,0,1,3.2588321,0.0000019,-0.0000019,0,0.04217,0.00024,-0.00024,62.670647,24.402042,179.39,1.31,-1.31,179.39,1.31,-1.31,12.526,12.201,5358,38,-38,0.94,0.02,-0.02,0.86,0.01,-0.01,,103.5,5.4,-5.4,,,,232.0159,12.7132,-12.7132,,,,232.0159,12.7132,-12.7132,13.339,0.224,-0.224,0.122,0.002,-0.002,,0.14188,0.00062,-0.00062,0,71,13,4.17804311,170.513611,-19.54991,65.24248,3.281129,5.57,0.04,-0.04,5.57,0.04,-0.04,16.5,0.1,-22,0.1,27.5,0.1,16.5,0.1,-22,0.1,27.5,0.1,32.88,0,0,4.7,4.54,0.01,-0.01,,,,0.16,0.03,-0.03,2.6,1.2,-1.2,3.7,0.5,-0.5,12.526,0.044,13.597,0.062,,10.622,0.035,10.168,0.041,10.062,0.034,10.095,0.037,10.142,0.037,9.991,0.082,7.549,,,16,,,1.071,0.076,0.454,0.054,0.106,0.053,0.56,0.049,,,,,,,5
1284,0,2,9.21165,0.00033,-0.00034,0,0.0923,0.0066,-0.0066,234.857773,-20.198818,274.99,3.8,-3.8,274.99,3.8,-3.8,11.114,10.82,6302,120,-120,1.19,0.07,-0.08,1.51,0.07,-0.07,,3.3,,,,,,10.9,,,,,,10.9,,,3.06,0.16,-0.16,0.028,0.001,-0.001,,0.019,0.00028,-0.00028,0,25,8,15.65718486,348.052283,27.599652,237.299742,-0.659991,3.64,0.05,-0.05,3.64,0.05,-0.05,27.225,0.099,-16.893,0.066,32.04,0.091,27.225,0.099,-16.893,0.066,32.04,0.091,19.76,0,0,,4.23,0.1,-0.1,,,,-0.06,0.1,-0.1,4,1.6,-0.8,6.5,1,-1,11.114,0.107,11.681,0.105,,9.771,0.022,9.477,0.022,9.42,0.019,9.396,0.021,9.413,0.02,9.403,0.045,8.948,,,14,,,0.567,0.15,0.294,0.031,0.057,0.029,0.351,0.029,,,,,,,4
1285,0,2,48.36685,0.00041,-0.0004,0,0.305,0.017,-0.017,234.857773,-20.198818,274.99,3.8,-3.8,274.99,3.8,-3.8,11.114,10.82,6302,120,-120,1.19,0.07,-0.08,1.51,0.07,-0.07,,38.4,1.7,-1.7,,,,246.00042,14.93801,-14.93801,,,,246.00042,14.93801,-14.93801,11.276,0.56,-0.56,0.103,0.005,-0.005,,0.06848,0.00042,-0.00047,0,25,8,15.65718486,348.052283,27.599652,237.299742,-0.659991,3.64,0.05,-0.05,3.64,0.05,-0.05,27.225,0.099,-16.893,0.066,32.04,0.091,27.225,0.099,-16.893,0.066,32.04,0.091,19.76,0,0,,4.23,0.1,-0.1,,,,-0.06,0.1,-0.1,4,1.6,-0.8,6.5,1,-1,11.114,0.107,11.681,0.105,,9.771,0.022,9.477,0.022,9.42,0.019,9.396,0.021,9.413,0.02,9.403,0.045,8.948,,,14,,,0.567,0.15,0.294,0.031,0.057,0.029,0.351,0.029,,,,,,,4
1286,0,1,2.225177,0.000066,-0.000068,0,0.03261,0.00044,-0.00044,76.445793,21.54863,90.29,0.49,-0.49,90.29,0.49,-0.49,10.014,9.866,5520,60,-60,0.93,0.04,-0.04,0.9,0.04,-0.03,,3.33,0.59,-0.59,,,,6.49,1.16,-1.16,,,,6.49,1.16,-1.16,1.589,0.095,-0.072,0.015,0.001,-0.001,,0.01614,0.00062,-0.00033,0,37,10,5.09638621,181.178495,-11.581333,77.406023,-1.300036,11.08,0.06,-0.06,11.08,0.06,-0.06,30.712,0.098,-97.082,0.056,101.824,0.061,30.712,0.098,-97.082,0.056,101.824,0.061,25.13,0,0,,4.5,0.05,-0.05,-0.166,0.009,-0.01,0.08,0.04,-0.05,3.72,3.7,-2.51,2,,,10.014,0.033,10.831,0.049,,8.765,0.032,8.407,0.017,8.353,0.02,8.291,0.024,8.346,0.021,8.323,0.023,8.304,0.325,,14,,,0.817,0.059,0.358,0.036,0.054,0.026,0.412,0.038,,,,,,,4
1287,0,1,16.9841,0.0008,-0.0008,0,0.13,0.01,-0.01,205.376266,-9.946078,114.29,0.82,-0.81,114.66,0.82,-0.82,9.917,9.756,5725,65,-65,1,0.03,-0.03,1.09,0.03,-0.03,,6.1,1.1,-1.1,,,,24.5,4.4,-4.4,,,,24.5,4.4,-4.4,2.63,0.11,-0.1,0.024,0.001,-0.001,,0.022,0.0006,-0.0005,0,26,8,13.6917511,322.755154,50.988484,207.130092,0.540937,,,,8.72,0.06,-0.06,-88.2,0.107,1.669,0.12,88.215,0.107,-88.2,0.107,1.669,0.12,88.215,0.107,-28.18,0.16,-0.16,4.3,4.33,0.04,-0.04,,,,0.07,0.05,-0.05,6.8,2.3,-2.3,4.6,1,-1,9.917,0.013,10.547,0.046,,8.73,0.023,8.452,0.036,8.407,0.027,8.325,0.022,8.364,0.02,8.348,0.022,8.07,0.176,,15,,,0.663,0.058,0.278,0.043,0.045,0.045,0.323,0.035,,,,,,,4
1288,0,1,13.1225,0.0011,-0.0012,0,,,,351.606354,-6.027876,396.64,6.75,-6.75,396.64,6.75,-6.75,13.357,13.161,5532,78,-78,0.96,0.04,-0.03,0.95,0.09,-0.06,,,,,,,,,,,,,,,,,2.45,0.35,-0.25,0.022,0.003,-0.002,,0.0228,0.002,-0.0012,0,17,7,23.44042358,75.331356,-60.780492,349.916138,-2.212345,2.52,0.04,-0.04,2.52,0.04,-0.04,31.831,0.055,-9.402,0.043,33.191,0.054,31.831,0.055,-9.402,0.043,33.191,0.054,,,,,4.52,0.13,-0.13,,,,0.218,0.08,-0.08,,,,,,,13.357,0.01,14.133,0.01,,11.959,0.026,11.565,0.022,11.544,0.023,11.49,0.023,11.53,0.022,11.578,0.25,9.044,,,14,,,0.776,0.014,0.394,0.034,0.021,0.032,0.415,0.035,,,,,,,4
