Controversial Flag,Number of Planets in System,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au]),Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Dec [sexagesimal],Dec [decimal degrees],Distance [pc],Distance Upper Unc. [pc],Distance Lower Unc. [pc],Gaia Distance [pc],Gaia Distance Upper Unc. [pc],Gaia Distance Lower Unc. [pc],Optical Magnitude [mag],G-band (Gaia) [mag],Effective Temperature [K],Effective Temperature Upper Unc. [K],Effective Temperature Lower Unc. [K],Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Radius [Solar radii],Stellar Radius Upper Unc. [Solar radii],Stellar Radius Lower Unc. [Solar radii],Time of Periastron Lower Unc. [days],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Upper Unc. [m/s],Radial Velocity Amplitude Lower Unc. [m/s],Planet M*sin(i) [Jupiter mass],Planet M*sin(i) Upper Unc. [Jupiter mass],Planet M*sin(i) Lower Unc. [Jupiter mass],Planet Mass [Earth mass],Planet Mass Upper Unc. [Earth mass],Planet Mass Lower Unc. [Earth mass],Planet M*sin(i) [Earth mass],Planet M*sin(i) Upper Unc. [Earth mass],Planet M*sin(i) Lower Unc. [Earth mass],Planet Mass or M*sin(i) [Earth mass],Planet Mass or M*sin(i) Upper Unc. [Earth mass],Planet Mass or M*sin(i) Lower Unc. [Earth mass],Planet Radius [Earth radii],Planet Radius Upper Unc. [Earth radii],Planet Radius Lower Unc. [Earth radii],Planet Radius [Solar radii],Planet Radius Upper Unc. [Solar radii],Planet Radius Lower Unc. [Solar radii],Transit Depth [percent],Ratio of Planet to Stellar Radius,Ratio of Planet to Stellar Radius Upper Unc.,Ratio of Planet to Stellar Radius Lower Unc.,Number of Moons in System,Number of Stellar and Planet Parameters,Number of Stellar and Planet References,RA [hrs],Galactic Longitude [deg],Galactic Latitude [deg],Ecliptic Longitude [deg],Ecliptic Latitude [deg],Parallax [mas],Parallax Upper Unc. [mas],Parallax Lower Unc. [mas],Gaia Parallax [mas],Gaia Parallax Upper Unc. [mas],Gaia Parallax Lower Unc. [mas],Proper Motion (RA) [mas/yr],Proper Motion (RA) Unc. [mas/yr],Proper Motion (Dec) [mas/yr],Proper Motion (Dec) Unc. [mas/yr],Total Proper Motion [mas/yr],Total Proper Motion Unc. [mas/yr],Gaia Proper Motion (RA) [mas/yr],Gaia Proper Motion (RA) Unc. [mas/yr],Gaia Proper Motion (Dec) [mas/yr],Gaia Proper Motion (Dec) Unc. [mas/yr],Gaia Total Proper Motion [mas/yr],Gaia Total Proper Motion Unc. [mas/yr],Radial Velocity [km/s],Radial Velocity Upper Unc. [km/s],Radial Velocity Lower Unc. [km/s],Spectral Type,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Luminosity [log(Solar)],Stellar Luminosity Upper Unc. [log(Solar)],Stellar Luminosity Lower Unc. [log(Solar)],Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Age [Gyr],Stellar Age Upper Unc. [Gyr],Stellar Age Lower Unc. [Gyr],Rot. Velocity V*sin(i) [km/s],Rot. Velocity V*sin(i) Upper Unc. [km/s],Rot. Velocity V*sin(i) Lower Unc. [km/s],V-band (Johnson) [mag],V-band (Johnson) Unc. [mag],B-band (Johnson) [mag],B-band (Johnson) Unc. [mag],R-band (Cousins) [mag],J-band (2MASS) [mag],J-band (2MASS) Unc. [mag],H-band (2MASS) [mag],H-band (2MASS) Unc. [mag],Ks-band (2MASS) [mag],Ks-band (2MASS) Unc. [mag],WISE 3.4um [mag],WISE 3.4um Unc. [mag],WISE 4.6um [mag],WISE 4.6um Unc. [mag],WISE 12.um [mag],WISE 12.um Unc. [mag],WISE 22.um [mag],WISE 22.um Unc. [mag],IRAS 100um Flux Limit Flag,Number of Photometry Measurements,U-B (Johnson) [mag],U-B (Johnson) Unc. [mag],B-V (Johnson) [mag],B-V (Johnson) Unc. [mag],J-H (2MASS) [mag],J-H (2MASS) Unc. [mag],H-Ks (2MASS) [mag],H-Ks (2MASS) Unc. [mag],J-Ks (2MASS) [mag],J-Ks (2MASS) Unc. [mag],b-y (Stromgren) [mag],b-y (Stromgren) Unc. [mag],m1 (Stromgren) [mag],m1 (Stromgren) Unc. [mag],c1 (Stromgren) [mag],c1 (Stromgren) Unc. [mag],Number of Color Measurements
1302,0,1,26.68,0.002,-0.003,0,0.1516,0.0115,-0.0258,166.801025,3.040031,210.56,1.37,-1.37,210.32,1.87,-1.87,12.172,11.94,5440,115,-115,0.95,0.06,-0.06,0.9,0.01,-0.01,,,,,,,,,,,,,,,,,2.79,0.11,-0.1,0.026,0.001,-0.001,0.083,,,,0,15,8,11.12006836,252.450957,55.343405,166.673702,-2.409458,,,,4.75,0.04,-0.04,-2.858,0.074,-22.738,0.055,22.917,0.055,-2.858,0.074,-22.738,0.055,22.917,0.055,8.64,1.83,-1.83,,4.51,0.06,-0.06,,,,,,,,,,,,,12.172,0.07,13,0.11,,10.705,0.026,10.313,0.023,10.223,0.025,10.097,0.023,10.17,0.02,10.183,0.073,8.797,,,14,,,0.828,0.13,0.392,0.035,0.09,0.034,0.482,0.036,,,,,,,4
1303,0,4,8.991828,0.000083,-0.000084,0,0.08035,0.00089,-0.00089,252.426086,-19.542822,158.39,1.3,-1.3,158.39,1.3,-1.3,12.31,12.004,,,,0.86,0.03,-0.03,0.84,0.04,-0.04,,,,,,,,,,,,,,,,,4.96,0.33,-0.27,0.045,0.003,-0.002,,0.05382,0.00076,-0.00068,0,78,12,16.82840576,0.545997,15.8018,253.446842,2.892278,6.31,0.05,-0.05,6.31,0.05,-0.05,-16.4,1.2,-52.5,1.3,55,1.3,-16.6,0.1,-53.6,0,56.1,0.1,-1.67,0.71,-0.71,4.9,,,,,,,,,,,,,0.7,,,12.31,0.02,13.278,0.042,,10.404,0.024,9.993,0.025,9.821,0.019,9.754,0.022,9.787,0.02,9.887,0.057,8.412,,,17,,,0.971,0.052,0.411,0.035,0.172,0.031,0.583,0.031,,,,,,,4
1304,0,4,20.66186,0.00102,-0.00098,0,0.1399,0.0016,-0.0016,252.426086,-19.542822,158.39,1.3,-1.3,158.39,1.3,-1.3,12.31,12.004,,,,0.86,0.03,-0.03,0.84,0.04,-0.04,,,,,,,,,,,,,,,,,2.74,0.2,-0.16,0.025,0.002,-0.001,,0.02966,0.00058,-0.00053,0,78,12,16.82840576,0.545997,15.8018,253.446842,2.892278,6.31,0.05,-0.05,6.31,0.05,-0.05,-16.4,1.2,-52.5,1.3,55,1.3,-16.6,0.1,-53.6,0,56.1,0.1,-1.67,0.71,-0.71,4.9,,,,,,,,,,,,,0.7,,,12.31,0.02,13.278,0.042,,10.404,0.024,9.993,0.025,9.821,0.019,9.754,0.022,9.787,0.02,9.887,0.057,8.412,,,17,,,0.971,0.052,0.411,0.035,0.172,0.031,0.583,0.031,,,,,,,4
1305,0,4,31.7142,0.0011,-0.001,0,0.1862,0.0021,-0.0021,252.426086,-19.542822,158.39,1.3,-1.3,158.39,1.3,-1.3,12.31,12.004,,,,0.86,0.03,-0.03,0.84,0.04,-0.04,,,,,,,,,,,,,,,,,3.27,0.23,-0.19,0.03,0.002,-0.002,,0.03551,0.00064,-0.00062,0,78,12,16.82840576,0.545997,15.8018,253.446842,2.892278,6.31,0.05,-0.05,6.31,0.05,-0.05,-16.4,1.2,-52.5,1.3,55,1.3,-16.6,0.1,-53.6,0,56.1,0.1,-1.67,0.71,-0.71,4.9,,,,,,,,,,,,,0.7,,,12.31,0.02,13.278,0.042,,10.404,0.024,9.993,0.025,9.821,0.019,9.754,0.022,9.787,0.02,9.887,0.057,8.412,,,17,,,0.971,0.052,0.411,0.035,0.172,0.031,0.583,0.031,,,,,,,4
1306,0,4,4.34882,0.00069,-0.00075,0,0.04951,0.00055,-0.00055,252.426086,-19.542822,158.39,1.3,-1.3,158.39,1.3,-1.3,12.31,12.004,,,,0.86,0.03,-0.03,0.84,0.04,-0.04,,,,,,,,,,,,,,,,,1.01,0.1,-0.09,0.009,0.001,-0.001,,0.0109,0.00052,-0.00051,0,37,12,16.82840576,0.545997,15.8018,253.446842,2.892278,6.31,0.05,-0.05,6.31,0.05,-0.05,-16.4,1.2,-52.5,1.3,55,1.3,-16.6,0.1,-53.6,0,56.1,0.1,-1.67,0.71,-0.71,4.9,,,,,,,,,,,,,0.7,,,12.31,0.02,13.278,0.042,,10.404,0.024,9.993,0.025,9.821,0.019,9.754,0.022,9.787,0.02,9.887,0.057,8.412,,,17,,,0.971,0.052,0.411,0.035,0.172,0.031,0.583,0.031,,,,,,,4
1307,0,1,1.995,0.001,-0.001,0,0.0142,0.0026,-0.003,163.252151,5.306635,109.07,1.04,-1.04,109.07,1.04,-1.04,15.798,16.355,3157,7,-7,0.12,0.01,-0.01,0.3,0,0,,,,,,,,,,,,,,,,,2.62,0.23,-0.15,0.024,0.002,-0.001,0.557,,,,0,13,8,10.88347677,245.352276,54.354653,162.532412,-1.677755,,,,9.17,0.09,-0.09,-58.437,0.156,-36.363,0.132,68.827,0.15,-58.437,0.156,-36.363,0.132,68.827,0.15,,,,,4.55,0.04,-0.04,,,,,,,,,,,,,,,,,,13.411,0.032,12.823,0.024,12.508,0.023,12.343,0.023,12.179,0.023,11.773,0.277,8.918,,,9,,,,,0.588,0.04,0.315,0.033,0.903,0.039,,,,,,,3
1308,0,1,2.298,0.001,-0.001,0,0.041,0.0035,-0.0048,156.405273,2.514349,77.86,0.32,-0.32,77.86,0.32,-0.32,13.677,12.824,3855,65,-65,0.6,0.03,-0.03,0.58,0.02,-0.02,,,,,,,,,,,,,,,,,1.95,0.1,-0.12,0.018,0.001,-0.001,0.11,,,,0,13,8,10.42701823,241.808042,47.320819,157.227428,-6.82362,,,,12.84,0.05,-0.05,50.922,0.07,-109.198,0.067,120.488,0.067,50.922,0.07,-109.198,0.067,120.488,0.067,-43.9,0.89,-0.89,,4.68,0.04,-0.04,,,,,,,,,,,,,13.677,0.05,15.127,0.04,,10.462,0.027,9.796,0.024,9.567,0.021,9.437,0.023,9.458,0.02,9.349,0.044,8.783,,,14,,,1.45,0.064,0.666,0.036,0.229,0.032,0.895,0.034,,,,,,,4
1309,0,1,8.205,0.003,-0.003,0,0.0594,0.0174,-0.0221,156.622757,4.764019,123.86,0.31,-0.31,123.86,0.31,-0.31,13.941,13.311,4141,96,-96,0.63,0.03,-0.03,0.6,0.01,-0.01,,,,,,,,,,,,,,,,,1.92,0.29,-0.18,0.018,0.003,-0.002,0.071,,,,0,15,8,10.44151713,239.346028,48.871718,156.601251,-4.651067,,,,8.07,0.02,-0.02,-16.304,0.037,-2.637,0.034,16.516,0.037,-16.304,0.037,-2.637,0.034,16.516,0.037,4.18,1.42,-1.42,,4.68,0.04,-0.04,,,,,,,,,,,,,13.941,0.02,15.317,0.06,,11.194,0.023,10.569,0.023,10.413,0.021,10.318,0.023,10.339,0.02,10.165,0.09,8.558,,,14,,,1.376,0.063,0.625,0.033,0.156,0.031,0.781,0.031,,,,,,,4
1310,0,1,24.93,0.006,-0.006,0,0.1275,0.0055,-0.0072,159.421021,6.285933,118.72,0.55,-0.55,118.72,0.55,-0.55,14.932,14.069,3710,118,-118,0.48,0.09,-0.09,0.55,0.02,-0.02,,,,,,,,,,,,,,,,,2.1,0.09,-0.11,0.019,0.001,-0.001,0.263,,,,0,13,8,10.62806803,240.072521,52.011722,158.630715,-2.207694,,,,8.42,0.04,-0.04,-11.163,0.07,-17.302,0.053,20.59,0.059,-11.163,0.07,-17.302,0.053,20.59,0.059,,,,,4.63,0.13,-0.13,,,,,,,,,,,,,14.932,0.11,16.418,0.06,,11.648,0.023,11.002,0.024,10.789,0.021,10.693,0.023,10.638,0.02,10.559,0.099,8.753,,,14,,,1.486,0.125,0.646,0.033,0.213,0.032,0.859,0.031,,,,,,,4
1311,0,1,3.262,0.001,-0.001,0,0.0331,0.0037,-0.0066,157.622284,6.863706,137.18,1.6,-1.6,137.18,1.6,-1.6,15.399,14.517,3752,57,-57,0.52,0.04,-0.04,0.51,0.01,-0.01,,,,,,,,,,,,,,,,,2.43,0.15,-0.13,0.022,0.001,-0.001,0.199,,,,0,15,8,10.50815226,237.626451,50.913998,156.755439,-2.332945,,,,7.29,0.08,-0.08,-17.142,0.155,-5.463,0.236,17.992,0.164,-17.142,0.155,-5.463,0.236,17.992,0.164,,,,,4.74,0.06,-0.06,,,,,,,,,,,,,15.399,0.02,16.783,0.04,,12.092,0.026,11.457,0.022,11.237,0.026,11.117,0.022,11.07,0.021,11.181,0.223,8.627,,,14,,,1.384,0.045,0.635,0.034,0.22,0.034,0.855,0.037,,,,,,,4
